Year,trade,tariff,negotiation,conflict,collaboration,cooperation
1990,"['currency', 'assistance', 'corporations', 'trading', 'agreements', 'monetary', 'imports', 'deals', 'embargo', 'aid']",[],"['restructuring', 'political', 'climate', 'negotiating', 'peaceful', 'bureaucratic', 'selecting', 'progress', 'perestroika', 'transformation']","['conflicts', 'confrontation', 'danger', 'dispute', 'clashes', 'crisis', 'suspicion', 'differences', 'occupation', 'hostility']","['rapport', 'fascination', 'obsession', 'flair', 'disgust', 'tandem', 'collaborating', 'drummer', 'richness', 'experimenting']","['relations', 'alliances', 'monetary', 'diplomacy', 'consensus', 'global', 'dialogue', 'confrontation', 'competitiveness', 'negotiations']"
1991,"['monetary', 'ec', 'multilateral', 'investment', 'agreements', 'enterprise', 'export', 'negotiate', 'economic', 'compete']","['resettlement', 'dependence', 'cushion', 'embargo', 'thereby', 'pledging', 'vis', 'surgical', 'liability', 'fuels']","['pact', 'negotiations', 'reform', 'multilateral', 'treaty', 'capitalism', 'apartheid', 'licensing', 'democratization', 'reforms']","['negotiations', 'confrontation', 'tensions', 'apartheid', 'chaos', 'differences', 'crisis', 'war', 'conflicts', 'debate']","['interaction', 'feud', 'roles', 'aligned', 'friction', 'portrait', 'themes', 'relationship', 'friendships', 'disdain']","['stability', 'competitiveness', 'arrangements', 'links', 'relations', 'integration', 'contacts', 'exchanges', 'ties', 'assistance']"
1992,"['markets', 'agreements', 'pact', 'relations', 'canada', 'monetary', 'cooperation', 'negotiations', 'industry', 'bargaining']","['sixty', 'containing', 'exports', 'newsprint', 'consumption', 'yield', 'dioxide', 'discount', 'imports', 'exceed']","['coupled', 'bitterness', 'experimenting', 'meditation', 'conflict', 'chaotic', 'diplomacy', 'moderation', 'strain', 'rapport']","['fundamentalism', 'fundamentalists', 'confrontation', 'strife', 'conflicts', 'judaism', 'tensions', 'struggle', 'bosnia', 'israel']","['blending', 'galina', 'olympiad', 'devoid', 'harmony', 'experimentation', 'glyndebourne', 'saloon', 'gras', 'interaction']","['unity', 'norms', 'peace', 'integration', 'stability', 'liberation', 'economies', 'countries', 'strategic', 'nations']"
1993,"['tariffs', 'gatt', 'bombing', 'global', 'hostages', 'cooperation', 'bilateral', 'competition', 'capital', 'nafta']","['namely', 'reduction', 'quarterly', 'dividend', 'subsidies', 'deficits', 'reductions', 'supplements', 'decrease', 'reduce']","['negotiating', 'ubiquitous', 'instructional', 'interfering', 'bargaining', 'participation', 'advocating', 'conjunction', 'geneva', 'voluntary']","['strife', 'confrontation', 'conflicts', 'plo', 'struggle', 'tensions', 'dispute', 'bosnia', 'debate', 'pact']","['hometown', 'warrior', 'pals', 'grace', 'predecessor', 'conversation', 'dealings', 'relationship', 'creator', 'klein']","['competitiveness', 'diplomacy', 'bilateral', 'multilateral', 'global', 'agreements', 'diplomatic', 'reforms', 'intervention', 'policies']"
1994,"['treaty', 'kong', 'securities', 'accord', 'pharmaceutical', 'gatt', 'customs', 'bond', 'bargaining', 'unilaterally']",[],"['drought', 'nationalists', 'slovakia', 'runoff', 'conjunction', 'goma', 'semifinal', 'demonstrators', 'mosques', 'similarities']","['tensions', 'disputes', 'conflicts', 'serbia', 'intervention', 'stability', 'palestinian', 'macedonia', 'threat', 'struggle']","['geneva', 'conjunction', 'buena', 'yerba', 'gerard', 'olympiad', 'columbine', 'carnegie', 'bbc', 'gowanus']","['intervention', 'peace', 'partnership', 'democracy', 'treaty', 'compliance', 'sanctions', 'russia', 'sustainable', 'indonesian']"
1995,"['tariffs', 'communications', 'trading', 'currency', 'consumer', 'acquiring', 'ltd', 'debt', 'worldwide', 'futures']",[],[],"['determination', 'racial', 'equality', 'psychological', 'nato', 'terrorists', 'territorial', 'warfare', 'syria', 'disputes']","['friendship', 'parallels', 'brooding', 'overture', 'comical', 'sermons', 'creator', 'hawthorne', 'zeal', 'fascination']","['coordination', 'initiatives', 'continuing', 'regulatory', 'involvement', 'humanitarian', 'stability', 'relations', 'conservation', 'religious']"
1996,"['exchange', 'agreements', 'sanctions', 'policy', 'deals', 'disputes', 'agreement', 'eu', 'bailout', 'exchanges']",[],[],"['conflicts', 'differences', 'clashes', 'apartheid', 'strife', 'tensions', 'racial', 'instability', 'confrontation', 'israel']","['interaction', 'enormously', 'deterioration', 'teamwork', 'ensemble', 'interfaith', 'coupled', 'longstanding', 'partnership', 'coping']","['unity', 'diplomatic', 'conflicts', 'autonomy', 'solidarity', 'initiatives', 'realities', 'clashes', 'coalition', 'instability']"
1997,"['traders', 'exchange', 'currency', 'banking', 'tourism', 'global', 'hostile', 'imf', 'coca', 'monetary']",[],"['escalating', 'discussions', 'crisis', 'obtaining', 'cycle', 'decree', 'inspections', 'conflict', 'tension', 'standoff']","['conflicts', 'racial', 'confrontation', 'dispute', 'racism', 'genocide', 'inequality', 'crisis', 'disparity', 'disputes']","['conclusions', 'dealings', 'reliability', 'finances', 'conjunction', 'speeches', 'chemistry', 'affiliated', 'contacts', 'concepts']","['reforms', 'iraq', 'integration', 'allies', 'oslo', 'involvement', 'corruption', 'discussions', 'agreements', 'peace']"
1998,"['trading', 'imf', 'embargo', 'acquisition', 'press', 'derivatives', 'consortium', 'securities', 'research', 'profit']",[],"['induction', 'oslo', 'chuckle', 'confrontation', 'millennium', 'dispute', 'laughter', 'promotion', 'continuation', 'speeds']","['differences', 'racial', 'obstacles', 'movement', 'sanctions', 'tension', 'cooperation', 'acceptance', 'israel', 'iraq']","['partnership', 'distinction', 'preoccupied', 'preoccupation', 'relationship', 'coupled', 'anticipation', 'affair', 'fascination', 'clashes']","['cooperate', 'conflict', 'iraq', 'negotiations', 'agreement', 'peace', 'demands', 'relationship', 'talks', 'inspections']"
1999,"['exchange', 'trading', 'trades', 'negotiations', 'filing', 'negotiate', 'nasdaq', 'yahoo', 'currency', 'agents']",[],[],"['conflicts', 'extremists', 'difficulties', 'cooperation', 'semitism', 'jews', 'nationalism', 'stability', 'crisis', 'breakdown']","['concerto', 'conjunction', 'gwyneth', 'romeo', 'pianist', 'pairing', 'renowned', 'dance', 'philharmonic', 'armani']","['conflicts', 'diplomacy', 'reforms', 'monetary', 'involvement', 'intervention', 'proposals', 'indonesian', 'partnership', 'mediation']"
2000,"['wto', 'amnesty', 'trading', 'crackdown', 'nasdaq', 'tariffs', 'bankers', 'negotiators', 'export', 'warming']",[],"['openings', 'dangers', 'controlling', 'tm', 'msnbc', 'resolution', 'resting', 'scanning', 'sketchy', 'tasteless']","['kosovo', 'indonesia', 'israel', 'communist', 'apartheid', 'reconciliation', 'cooperation', 'palestinians', 'syria', 'palestinian']","['distinctive', 'parallels', 'vengeance', 'fusion', 'dimensions', 'wit', 'paintings', 'lifestyles', 'orpheus', 'duets']","['india', 'egypt', 'allies', 'conflict', 'openness', 'economic', 'forces', 'militant', 'ministry', 'reconciliation']"
2001,"['fielder', 'agents', 'agent', 'toll', 'collapse', 'castilla', 'pentagon', 'mci', 'industrialized', 'lance']",[],"['supervision', 'exercises', 'maximum', 'decibels', 'guidance', 'discipline', 'microscope', 'minimal', 'psychological', 'reliant']","['differences', 'islam', 'slavery', 'nationalism', 'movement', 'terrorism', 'extremists', 'palestinian', 'injustice', 'battle']","['fascination', 'familiarity', 'partnership', 'relationships', 'imagination', 'friendship', 'dealings', 'wit', 'conjunction', 'obsessed']","['russia', 'diplomatic', 'conflicts', 'iran', 'relations', 'agencies', 'humanitarian', 'peace', 'faiths', 'reforms']"
2002,"['trans', 'agreements', 'mci', 'windows', 'detention', 'pepsi', 'ghost', 'series', 'merger', 'waiver']",[],"['simmering', 'presided', 'pour', 'brush', 'looms', 'divide', 'presiding', 'nonstick', 'sweeps', 'furor']","['conflicts', 'kashmir', 'regime', 'cooperation', 'tensions', 'terror', 'crisis', 'confrontation', 'moral', 'possibility']","['clash', 'obsessed', 'friendship', 'relationship', 'coupled', 'connection', 'experiment', 'laced', 'confrontation', 'obsession']","['agreements', 'standoff', 'allies', 'conflict', 'tensions', 'comply', 'nato', 'alliances', 'fraught', 'kashmir']"
2003,"['global', 'stock', 'internet', 'mci', 'trading', 'industrialized', 'profit', 'press', 'spam', 'market']",[],"['imposed', 'disarmament', 'modeled', 'challenger', 'insisting', 'suspend', 'milosevic', 'harboring', 'interrogation', 'unspecified']","['war', 'conflicts', 'invasion', 'negotiations', 'unrest', 'iraq', 'serbs', 'violence', 'bosnia', 'postwar']","['collaborating', 'violinist', 'subtitles', 'obsession', 'avant', 'vivid', 'contemporary', 'intimate', 'maguire', 'intriguing']","['infrastructure', 'coordinating', 'assistance', 'sovereign', 'un', 'monitoring', 'authority', 'ministries', 'stability', 'terrorism']"
2004,"['financial', 'currency', 'bangladesh', 'japan', 'imports', 'exchange', 'domestic', 'european', 'boost', 'exports']",[],"['embryonic', 'technological', 'strategically', 'explicitly', 'protracted', 'misconduct', 'hardship', 'inflammation', 'mechanism', 'synthetic']","['insurgency', 'threat', 'occupation', 'retaliation', 'chaos', 'corruption', 'evil', 'nato', 'conflicts', 'violence']","['conjunction', 'subtitles', 'legend', 'novelist', 'blurring', 'argentine', 'exquisitely', 'paired', 'obsession', 'ensemble']","['leadership', 'terrorism', 'intelligence', 'diplomatic', 'unity', 'government', 'ministry', 'involvement', 'credibility', 'partnership']"
2005,"['unocal', 'export', 'cooperation', 'pfizer', 'labor', 'monetary', 'agreements', 'guaranty', 'shipping', 'adoptions']",[],"['tragedies', 'confirmation', 'resolution', 'sentencing', 'nominees', 'amendments', 'uncover', 'discretion', 'goodwill', 'contents']","['invasion', 'vietnam', 'iran', 'occupation', 'terrorism', 'islam', 'semitism', 'genocide', 'iraq', 'terror']","['myth', 'rapport', 'analogy', 'assertion', 'strikingly', 'thriller', 'tale', 'empathy', 'genius', 'icon']","['strategic', 'solidarity', 'protracted', 'affairs', 'relations', 'coalition', 'oversight', 'investigations', 'economic', 'judaism']"
2006,"['dp', 'lobbying', 'distributed', 'banking', 'international', 'import', 'renewed', 'nigeria', 'lifting', 'pilots']",[],"['implied', 'infringement', 'unnecessary', 'resolving', 'clarity', 'confusion', 'benchmarks', 'poison', 'misuse', 'slight']","['invasion', 'crisis', 'bloodshed', 'war', 'terrorism', 'insurgency', 'hizbullah', 'dialogue', 'regime', 'violence']","['conjunction', 'partnering', 'fascination', 'interaction', 'rumble', 'haitink', 'promoter', 'operas', 'volkswagen', 'experimenting']","['liberties', 'zeal', 'sanctions', 'conflict', 'coalition', 'conflicts', 'influence', 'allies', 'negotiations', 'interaction']"
2007,"['trillion', 'trades', 'yen', 'bp', 'domestic', 'promotion', 'economy', 'gulf', 'china', 'litigation']",[],"['sovereign', 'literal', 'compelling', 'buildup', 'healing', 'inherent', 'fundamental', 'authenticity', 'philosophical', 'intent']","['conflicts', 'sectarian', 'clash', 'wars', 'palestinian', 'fatah', 'tensions', 'politics', 'hamas', 'resistance']","['excellence', 'promoting', 'artistic', 'breadth', 'childhood', 'transformation', 'relationships', 'intimacy', 'expertise', 'essence']","['intimidation', 'conflicts', 'terrorism', 'kurds', 'policy', 'governmental', 'restrictions', 'institutions', 'obtaining', 'expressing']"
2008,"['derivatives', 'exchange', 'monetary', 'trading', 'hedge', 'merger', 'treaty', 'brokerage', 'currency', 'mutual']","['imports', 'cashew', 'traders', 'spills', 'battlefield', 'sands', 'dependence', 'thereby', 'lumber', 'platforms']","['coupled', 'agreement', 'accord', 'zeal', 'coincides', 'antlers', 'fanfare', 'conjunction', 'compromise', 'eu']","['conflicts', 'cooperation', 'war', 'jihad', 'tensions', 'battle', 'genocide', 'terrorism', 'pakistan', 'sunni']","['chapters', 'relationship', 'zeal', 'interactions', 'collaborators', 'ideals', 'fascination', 'rhythms', 'arrival', 'contacts']","['strategic', 'nato', 'diplomatic', 'intelligence', 'iran', 'pakistan', 'solutions', 'conflict', 'treaty', 'partnerships']"
2009,"['trading', 'peer', 'transport', 'warming', 'restricted', 'banking', 'impose', 'dealers', 'automakers', 'supplier']",[],"['beefed', 'tearing', 'ramped', 'holed', 'racking', 'drying', 'demolition', 'piling', 'soak', 'mixing']","['regime', 'tensions', 'democracy', 'tamils', 'afghanistan', 'israel', 'legitimacy', 'insurgency', 'cooperation', 'pakistan']","['curator', 'colliers', 'friendships', 'illustrations', 'relations', 'poet', 'smithsonian', 'photography', 'multimedia', 'cooperation']","['diplomacy', 'strategic', 'strategy', 'sanctions', 'dictatorship', 'democracy', 'leadership', 'relations', 'agreement', 'conflict']"
2010,"['eu', 'bailout', 'financial', 'international', 'derivatives', 'european', 'austerity', 'tibet', 'monetary', 'terrorism']",[],"['speculation', 'whisking', 'compares', 'mixes', 'guise', 'hostility', 'contrasts', 'caesar', 'spiked', 'disconnect']","['corruption', 'violence', 'genocide', 'widespread', 'palestinian', 'rwanda', 'israel', 'negotiations', 'darfur', 'palestinians']","['artwork', 'visual', 'contemporary', 'ensemble', 'exhibitions', 'consultation', 'fabric', 'alliance', 'biennial', 'decorative']","['involvement', 'relations', 'sovereignty', 'strategic', 'pakistan', 'iran', 'militias', 'yemen', 'iranian', 'engagement']"
2011,"['coverage', 'merger', 'monetary', 'banking', 'automotive', 'global', 'lending', 'eb', 'coordinate', 'spotify']",[],"['novelty', 'nunez', 'ditch', 'mcdaniels', 'sayyaf', 'annette', 'urgency', 'attempts', 'coen', 'vengeance']","['israel', 'cooperation', 'palestinians', 'pakistan', 'tensions', 'libya', 'taliban', 'peace', 'negotiations', 'dialogue']","['alain', 'contemporary', 'traditions', 'friendship', 'curator', 'decorated', 'outreach', 'conductor', 'partnership', 'tension']","['relations', 'conflict', 'iran', 'israel', 'pakistan', 'coalition', 'hamas', 'intervention', 'strategic', 'ties']"
2012,"['securities', 'exchange', 'cola', 'monetary', 'sell', 'protection', 'enforce', 'electronics', 'taiwan', 'signed']",[],"['kofi', 'agreement', 'force', 'november', 'ourselves', 'proposal', 'annan', 'provoked', 'treaty', 'maldives']","['libya', 'pakistan', 'taliban', 'sectarian', 'hezbollah', 'syria', 'russia', 'hamas', 'regime', 'cooperation']","['collaborations', 'civilization', 'revival', 'comparisons', 'relationship', 'philosophies', 'rift', 'dc', 'conjunction', 'austrian']","['democracy', 'hostility', 'conflict', 'pakistan', 'nascent', 'governance', 'stability', 'russia', 'capability', 'treaty']"
2013,"['banking', 'european', 'pharmaceutical', 'equity', 'booming', 'trading', 'stock', 'israeli', 'pietrangelo', 'venture']",[],"['accelerating', 'massive', 'airstrikes', 'leaks', 'mediterranean', 'meltdown', 'easing', 'fracturing', 'vitality', 'austerity']","['tensions', 'israel', 'clashes', 'clash', 'pakistan', 'negotiations', 'taliban', 'diplomacy', 'protests', 'egypt']","['partnership', 'communication', 'partners', 'conjunction', 'cooperation', 'curriculum', 'cultural', 'workshops', 'artists', 'autism']","['leadership', 'involvement', 'israel', 'agenda', 'whaling', 'diplomacy', 'stance', 'inclusion', 'partnership', 'conflict']"
2014,"['asia', 'restructuring', 'markets', 'investment', 'trading', 'cooperation', 'eurozone', 'concessions', 'partnership', 'acquisition']",[],"['existential', 'political', 'authoritarian', 'corruption', 'bargaining', 'violating', 'diplomacy', 'false', 'accountability', 'broader']","['crisis', 'regime', 'taliban', 'tension', 'weakness', 'extremism', 'confusion', 'corruption', 'tensions', 'reconciliation']","['partnership', 'partnering', 'partnered', 'relationship', 'conjunction', 'interact', 'alternates', 'interactions', 'fascination', 'subtitles']","['reconciliation', 'negotiations', 'relations', 'ties', 'prosperity', 'coordination', 'partnership', 'intervention', 'allies', 'relationship']"
2015,"['negotiating', 'pact', 'negotiations', 'sanctions', 'agreements', 'cooperation', 'iran', 'cuba', 'framework', 'global']",[],"['tulo', 'attribution', 'cleaner', 'worse', 'armour', 'safer', 'product', 'decades', 'tension', 'iran']","['tensions', 'crisis', 'ukraine', 'iraq', 'israel', 'negotiations', 'syria', 'tension', 'idf', 'confrontation']","['partnership', 'communication', 'interacting', 'clash', 'disconnect', 'tension', 'cooperation', 'resonates', 'affiliated', 'interactions']","['legitimacy', 'partners', 'alliances', 'stability', 'philanthropic', 'capabilities', 'diplomatic', 'advisers', 'interests', 'strategic']"
2016,"['negotiating', 'pact', 'rein', 'banking', 'advisers', 'agreements', 'capitalism', 'endurance', 'eu', 'iran']",[],[],"['conflicts', 'sanctions', 'tensions', 'backlash', 'crises', 'uncertainty', 'risks', 'terrorism', 'diplomatic', 'magnitude']","['partnership', 'partnering', 'industries', 'shifting', 'product', 'engineering', 'visions', 'architecture', 'coordination', 'curriculum']","['knowledge', 'commitment', 'guidance', 'principles', 'relationships', 'understanding', 'relations', 'capabilities', 'coordination', 'practices']"
2017,"['bilateral', 'deals', 'deal', 'treaty', 'iran', 'nafta', 'ambassador', 'accord', 'foreign', 'trading']","['tariffs', 'lumber', 'imports', 'imported', 'crude', 'diesel', 'emissions', 'generating', 'fuel', 'markets']","['flux', 'tricky', 'assembling', 'humanitarian', 'expressing', 'affordability', 'tackling', 'pradhan', 'considerable', 'inevitable']","['conflicts', 'israel', 'palestinians', 'diplomatic', 'disaster', 'government', 'moral', 'civilian', 'russia', 'settlement']","['partnership', 'variations', 'partnerships', 'parallels', 'aligned', 'vogue', 'diplomacy', 'photography', 'relations', 'relationship']","['professionalism', 'ensuring', 'strengthening', 'protections', 'ambitions', 'understanding', 'allies', 'nationality', 'involvement', 'institutional']"
2018,"['canada', 'global', 'china', 'nafta', 'iran', 'beijing', 'sanctions', 'tariffs', 'economy', 'nuclear']","['tariffs', 'aluminum', 'imports', 'exports', 'sanctions', 'imported', 'imposed', 'steel', 'benchmark', 'tat']","['expertise', 'coordination', 'flexibility', 'discipline', 'procopio', 'hhs', 'lacked', 'stability', 'tangible', 'coordinate']","['tensions', 'conflicts', 'troops', 'sanctions', 'clashes', 'retaliation', 'racial', 'threats', 'russia', 'corruption']","['partnership', 'partnerships', 'workshop', 'cultural', 'civic', 'alliance', 'partnering', 'strengthening', 'contemporary', 'ballet']","['partnerships', 'intelligence', 'agenda', 'regulatory', 'qatar', 'discussions', 'compliance', 'stability', 'promotion', 'strategic']"
2019,"['clause', 'eu', 'pact', 'agreement', 'export', 'deal', 'sanctions', 'china', 'buyer', 'britain']","['tariffs', 'imports', 'sanctions', 'exports', 'controls', 'capabilities', 'iran', 'easing', 'tensions', 'nato']","['stockpile', 'recession', 'accord', 'deal', 'euros', 'pyongyang', 'sanctions', 'impasse', 'automaker', 'trade']","['conflicts', 'consequences', 'interfere', 'venezuela', 'tensions', 'crisis', 'racial', 'heightened', 'iran', 'corruption']","['partnership', 'partnering', 'affiliated', 'conjunction', 'interactions', 'coupled', 'cooperation', 'dealing', 'grappling', 'coordination']","['interfere', 'interfering', 'russia', 'withdrawal', 'tensions', 'disputes', 'collaboration', 'negotiations', 'tehran', 'relations']"
